packets_per_sec,avg_packet_size
32,1569.9375
40,1592.375
39,1643.6410256410256
31,1612.774193548387
20,1299.9
23,1410.3478260869565
39,1650.1025641025642
39,1739.3846153846155
52,1925.576923076923
46,1735.7173913043478
16,948.875
22,1422.409090909091
25,1281.48
24,1195.25
53,1942.5471698113208
79,2084.759493670886
56,1905.392857142857
49,1661.9183673469388
43,1649.8372093023256
20,1301.75
28,1310.5357142857142
22,1350.1818181818182
18,1257.888888888889
18,1233.9444444444443
19,1240.2105263157894
19,1123.3684210526317
21,991.4285714285714
20,1303.75
25,1328.88
23,1293.8695652173913
25,1590.88
38,1735.8684210526317
25,1281.48
34,1665.4705882352941
46,1786.9565217391305
40,1845.325
30,1605.3666666666666
44,1769.4772727272727
20,1318.2
58,1947.0
67,2056.805970149254
57,1990.7719298245613
18,1204.5
28,1625.0357142857142
53,1829.0754716981132
47,1656.1489361702127
45,1761.2222222222222
43,1724.1627906976744
32,1678.09375
42,1642.1904761904761
18,1233.5
15,1039.2666666666667
14,823.7857142857143
33,1637.2424242424242
40,1721.775
44,1598.25
43,1826.8837209302326
35,1861.2857142857142
24,1683.9583333333333
32,1701.46875
45,1881.4222222222222
24,1417.75
24,1211.75
30,1434.7
26,1674.923076923077
34,1629.6470588235295
32,1578.46875
26,1847.3076923076924
24,1449.2083333333333
20,1294.8
25,1550.84
19,1293.6315789473683
26,1316.5
22,1168.409090909091
32,1717.625
22,1561.8636363636363
38,1766.578947368421
28,1578.9642857142858
20,1717.9
24,1242.7916666666667
25,1541.44
31,1514.1290322580646
27,1360.7037037037037
46,1873.891304347826
108,2119.5
24,1586.8333333333333
22,1829.0
46,1932.1304347826087
35,1736.3428571428572
66,2037.590909090909
50,2136.36
23,1266.608695652174
25,1332.04
25,1552.44
24,1311.5
26,1398.576923076923
19,1193.578947368421
22,1174.0454545454545
26,1657.923076923077
17,1289.0
25,1739.72
39,1797.1538461538462
43,1700.2325581395348
49,1826.204081632653
41,1795.7317073170732
49,1761.265306122449
40,1731.675
48,1836.5833333333333
25,1352.72
19,1342.2105263157894
48,1944.9166666666667
27,1497.3703703703704
20,1330.25
19,1521.5263157894738
28,1455.2857142857142
23,1310.5652173913043
30,1783.6
32,1592.5625
27,1324.4814814814815
31,1448.225806451613
27,1215.9259259259259
21,1716.5714285714287
35,1498.9142857142858
41,1756.3902439024391
36,1656.888888888889
27,1484.7407407407406
23,1552.8260869565217
18,1215.4444444444443
44,1781.159090909091
45,1835.2444444444445
57,1917.7894736842106
26,1520.423076923077
19,1208.0
25,1285.0
22,1301.0
38,1649.7631578947369
60,1913.3166666666666
69,2071.710144927536
54,1858.148148148148
45,1688.2
40,1636.1
19,1295.0
22,1497.5454545454545
22,1269.9545454545455
17,1228.1176470588234
20,1264.5
17,1171.8823529411766
18,1221.388888888889
16,1179.5625
23,1402.9130434782608
19,1568.6842105263158
23,1290.0434782608695
27,1839.6666666666667
33,1720.5454545454545
28,1358.3214285714287
43,1798.1860465116279
40,1626.75
43,1804.0697674418604
28,1331.9642857142858
37,1956.4054054054054
20,1392.55
74,2036.4864864864865
66,2097.257575757576
39,1926.4358974358975
17,1381.3529411764705
41,1716.6097560975609
47,1818.468085106383
42,1701.904761904762
48,1745.3958333333333
39,1726.871794871795
39,1625.7692307692307
30,1609.9333333333334
16,1274.0
13,1175.6923076923076
10,830.2
41,1770.4146341463415
31,1822.1612903225807
49,1754.2448979591836
46,1785.5
28,1863.642857142857
22,1557.2727272727273
42,1816.1190476190477
38,1741.0263157894738
23,1396.8695652173913
22,1217.0
33,1531.090909090909
22,1827.8636363636363
32,1674.875
37,1849.4324324324325
23,1294.695652173913
23,1603.8260869565217
25,1364.48
24,1181.9583333333333
22,1415.4545454545455
22,1223.090909090909
20,1155.55
33,1800.5757575757575
26,1425.5
40,1805.975
21,1585.5714285714287
25,1457.4
25,1519.96
25,1518.6
24,1612.125
26,1566.1923076923076
66,2033.7878787878788
83,2161.602409638554
26,1552.1923076923076
30,1739.7
52,1885.1538461538462
23,1414.2173913043478
73,2192.5068493150684
40,2072.3
21,1287.0
24,1407.2083333333333
28,1572.5357142857142
26,1516.2692307692307
18,1258.611111111111
18,1253.388888888889
21,1216.142857142857
25,1727.48
16,1273.5625
30,1835.7
38,1707.9736842105262
49,1888.6326530612246
46,1716.6739130434783
44,1748.840909090909
43,1839.093023255814
42,1898.2857142857142
44,1818.909090909091
18,1322.0555555555557
32,1680.21875
41,1907.9268292682927
20,1319.8
19,1293.3157894736842
20,1437.9
28,1548.7142857142858
25,1401.08
30,1689.2333333333333
31,1611.5806451612902
25,1459.96
28,1625.607142857143
24,1310.6666666666667
24,1582.5833333333333
35,1660.0
41,1727.0487804878048
38,1771.3684210526317
23,1364.3478260869565
18,1443.888888888889
16,1365.1875
53,1812.7169811320755
42,1794.2857142857142
54,2009.148148148148
21,1461.857142857143
19,1361.6315789473683
23,1381.4347826086957
21,1325.5714285714287
49,1798.6938775510205
71,1960.8309859154929
55,2125.1272727272726
53,1797.2075471698113
40,1670.5
34,1523.7058823529412
22,1295.090909090909
24,1479.0416666666667
19,1281.842105263158
